X,I,T,V
0.3045,11.9892396395681,399999985.281891,0.0371243995981686
0.3052,12.0357978340863,399999985.220743,0.037257994606387
0.3059,12.0825194920691,399999985.159376,0.0373921180860077
0.3066,12.1294052848895,399999985.097787,0.0375267718380648
0.3073,12.1764558860721,399999985.035977,0.0376619576713277
0.308,12.2236719713029,399999984.973944,0.0377976774023241
0.3087,12.2710542184397,399999984.911687,0.0379339328553636
0.3094,12.3186033075224,399999984.849206,0.0380707258625601
0.3101,12.3663199207826,399999984.786499,0.0382080582638558
0.3108,12.4142047426545,399999984.723566,0.0383459319070447
0.3115,12.4622584597848,399999984.660406,0.0384843486477955
0.3122,12.510481761043,399999984.597018,0.0386233103496763
0.3129,12.5588753375315,399999984.533401,0.0387628188841775
0.3136,12.6074398825965,399999984.469554,0.0389028761307364
0.3143,12.6561760918378,399999984.405477,0.039043483976761
0.315,12.7050846631193,399999984.341168,0.0391846443176544
0.3157,12.7541662965796,399999984.276626,0.0393263590568389
0.3164,12.8034216946424,399999984.211851,0.0394686301057805
